Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
09/09/2016 20:05,09/09/2016 20:50,GBPUSD,Buy,0.03,1.32061,1.33541,1.32537,1.32673,0.0000,0.0000,13.6,3.63,0.02,00:00:45:01,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,13.60,3.67
09/09/2016 12:19,09/09/2016 19:31,USDJPY,Sell,0.03,103.37000,101.37000,102.36900,102.67000,0.0000,0.0000,-30.1,-7.84,-0.05,00:07:12:21,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-30.10,-7.83
09/09/2016 09:00,09/09/2016 15:30,GBPUSD,Buy,0.08,1.32826,1.33725,1.33135,1.32825,0.0000,0.0000,-31.0,-22.11,-0.15,00:06:30:58,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-31.00,-22.01
09/08/2016 17:35,09/09/2016 13:05,USDJPY,Buy,0.12,101.52400,103.19300,102.17600,102.66300,0.0000,0.0100,48.7,50.55,0.34,00:19:30:00,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,48.70,50.65
09/09/2016 02:00,09/09/2016 09:29,GBPUSD,Sell,0.05,1.33407,1.32057,1.33059,1.33034,0.0000,0.0000,2.5,1.11,0.01,00:07:28:59,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,2.50,1.10
09/08/2016 23:32,09/09/2016 08:46,USDJPY,Buy,0.03,101.42600,103.42600,102.42800,102.20400,0.0000,0.0000,-22.4,-5.84,-0.04,00:09:14:24,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-22.40,-5.82
09/08/2016 23:49,09/09/2016 08:46,USDJPY,Buy,0.03,101.41000,103.41000,102.41400,102.19900,0.0000,0.0000,-21.5,-5.60,-0.04,00:08:57:17,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-21.50,-5.59
09/09/2016 00:05,09/09/2016 08:46,USDJPY,Buy,0.03,101.42900,103.42900,102.43000,102.19300,0.0000,0.0000,-23.7,-6.17,-0.04,00:08:41:10,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-23.70,-6.16
09/08/2016 23:54,09/09/2016 08:46,EURUSD,Sell,0.03,1.12942,1.11652,1.12650,1.12708,0.0000,0.0400,-5.8,-1.50,-0.01,00:08:52:07,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-5.80,-1.57
09/09/2016 01:16,09/09/2016 08:46,USDJPY,Buy,0.03,101.29000,103.29000,102.29000,102.19500,0.0000,0.0000,-9.5,-2.47,-0.02,00:07:30:00,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-9.50,-2.47
09/08/2016 23:15,09/09/2016 08:45,EURUSD,Sell,0.08,1.13014,1.12424,1.12614,1.12690,0.0000,0.1100,-7.6,-5.29,-0.04,00:09:29:42,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-7.60,-5.40
09/09/2016 06:21,09/09/2016 08:20,GBPUSD,Sell,0.03,1.33778,1.32318,1.33318,1.33232,0.0000,0.0000,8.6,2.28,0.02,00:01:58:56,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,8.60,2.32
09/08/2016 23:14,09/09/2016 05:41,USDJPY,Buy,0.10,101.64200,102.54200,102.45600,102.16200,0.0000,0.0100,-29.4,-25.51,-0.17,00:06:27:40,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-29.40,-25.58
09/08/2016 17:15,09/09/2016 04:15,USDCAD,Sell,0.06,1.30443,1.27836,1.28761,1.29241,0.0000,-0.0100,-48.0,-19.78,-0.13,00:11:00:11,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-48.00,-19.68
09/09/2016 01:51,09/09/2016 04:15,AUDUSD,Sell,0.05,0.77161,0.76011,0.76509,0.76398,0.0000,0.0000,11.1,4.92,0.03,00:02:24:00,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,11.10,4.88
09/08/2016 23:33,09/09/2016 03:00,USDCHF,Buy,0.10,0.96606,0.97267,0.97237,0.97196,0.0000,0.2400,-4.1,-3.51,-0.02,00:03:27:46,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-4.10,-3.73
09/08/2016 17:45,09/09/2016 02:45,USDJPY,Buy,0.06,102.18200,102.65100,102.18200,102.18200,0.0000,0.0100,0.0,0.01,0.00,00:09:00:30,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,0.00,0.00
09/08/2016 17:45,09/09/2016 02:45,USDJPY,Buy,0.06,102.18200,102.80800,102.18200,102.18200,0.0000,0.0100,0.0,0.01,0.00,00:09:00:30,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,0.00,0.00
09/08/2016 16:15,09/09/2016 02:20,EURUSD,Sell,0.12,1.12741,1.11594,1.12741,1.12743,0.0000,0.1600,-0.2,-0.05,0.00,00:10:05:30,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-0.20,-0.21
09/08/2016 16:15,09/09/2016 02:20,EURUSD,Sell,0.12,1.12741,1.12004,1.12741,1.12743,0.0000,0.1600,-0.2,-0.05,0.00,00:10:05:30,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-0.20,-0.21
09/08/2016 16:30,09/09/2016 02:20,EURUSD,Sell,0.12,1.12737,1.11587,1.12737,1.12743,0.0000,0.1600,-0.6,-0.48,0.00,00:09:50:29,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-0.60,-0.64
09/09/2016 01:15,09/09/2016 02:03,USDJPY,Buy,0.08,101.08900,102.93900,102.28200,102.37400,0.0000,0.0000,9.2,6.38,0.04,00:00:47:58,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,9.20,6.35
09/08/2016 23:09,09/09/2016 02:02,EURUSD,Sell,0.10,1.13211,1.12561,1.12608,1.12629,0.0000,0.1300,-2.1,-1.73,-0.01,00:02:52:25,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-2.10,-1.87
09/08/2016 22:46,09/09/2016 01:16,GBPUSD,Buy,0.03,1.32466,1.33956,1.32959,1.33035,0.0000,-0.0600,7.6,1.96,0.01,00:02:30:01,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,7.60,2.05
09/08/2016 18:00,09/09/2016 01:14,USDJPY,Buy,0.06,102.28700,103.00600,102.28700,102.28600,0.0000,0.0100,-0.1,-0.04,0.00,00:07:14:04,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-0.10,-0.05
09/08/2016 23:29,09/09/2016 00:10,GBPUSD,Sell,0.10,1.33504,1.32928,1.32989,1.32966,0.0000,0.0200,2.3,2.06,0.01,00:00:41:14,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,2.30,2.05
09/08/2016 20:16,09/08/2016 23:46,USDJPY,Sell,0.03,103.57400,101.50400,102.50300,102.41700,0.0000,0.0000,8.6,2.23,0.01,00:03:30:03,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,8.60,2.24
09/08/2016 21:31,09/08/2016 23:46,USDJPY,Sell,0.03,103.61200,101.54200,102.54100,102.41700,0.0000,0.0000,12.4,3.23,0.02,00:02:14:50,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,12.40,3.22
09/08/2016 21:46,09/08/2016 23:35,GBPUSD,Buy,0.03,1.32440,1.33930,1.32929,1.33018,0.0000,0.0000,8.9,2.37,0.02,00:01:48:45,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,8.90,2.40
09/08/2016 17:30,09/08/2016 18:05,USDJPY,Buy,0.03,101.97200,102.30900,101.97200,102.30900,0.0000,0.0000,33.7,8.77,0.06,00:00:35:06,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,33.70,8.76
09/08/2016 16:00,09/08/2016 17:46,EURJPY,Sell,0.06,115.17700,113.24600,114.65500,115.17700,0.0000,0.0000,-52.2,-27.19,-0.18,00:01:46:12,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-52.20,-27.14
09/08/2016 16:00,09/08/2016 17:46,EURJPY,Sell,0.06,115.17700,113.24600,114.65500,115.17700,0.0000,0.0000,-52.2,-27.19,-0.18,00:01:46:12,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-52.20,-27.14
09/08/2016 17:30,09/08/2016 17:45,USDJPY,Buy,0.03,101.97200,102.30900,101.97200,102.17400,0.0000,0.0000,20.2,5.26,0.03,00:00:15:00,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,20.20,5.25
09/08/2016 16:30,09/08/2016 17:15,EURUSD,Sell,0.12,1.12947,1.11997,1.12737,1.12825,0.0000,0.0000,-8.8,-9.36,-0.06,00:00:44:59,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-8.80,-9.33
09/07/2016 16:15,09/08/2016 16:00,USDCAD,Buy,0.06,1.28850,1.29618,1.28850,1.29169,0.0000,-0.1900,31.9,12.94,0.09,00:23:45:00,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,31.90,13.08
09/07/2016 16:30,09/08/2016 16:00,USDCAD,Buy,0.06,1.27231,1.29838,1.28913,1.29169,0.0000,-0.1900,25.6,10.35,0.07,00:23:30:00,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,25.60,10.50
09/08/2016 14:31,09/08/2016 14:44,AUDUSD,Buy,0.05,0.76487,0.77637,0.77138,0.77271,0.0000,0.0000,13.3,5.89,0.04,00:00:13:00,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,13.30,5.85
09/06/2016 16:45,09/08/2016 12:19,EURUSD,Buy,0.06,0.00000,0.00000,1.12464,1.12879,0.0000,-1.0000,41.5,21.06,0.14,01:19:33:59,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,41.50,22.00
09/07/2016 23:26,09/08/2016 01:30,USDJPY,Buy,0.10,100.90100,101.74700,101.71300,101.70900,0.0000,0.0300,-0.4,-0.32,0.00,00:02:03:53,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-0.40,-0.35
09/07/2016 23:05,09/08/2016 01:30,USDCAD,Buy,0.10,1.28441,1.30061,1.28853,1.28809,0.0000,-0.3100,-4.4,-3.34,-0.02,00:02:25:00,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,-4.40,-3.04
09/07/2016 23:56,09/08/2016 00:15,GBPUSD,Buy,0.10,1.32840,1.33390,1.33365,1.33391,0.0000,-0.5900,2.6,1.72,0.01,00:00:19:13,0.0,0s,0.0,1.00,0.0,0.0,0.0,0.0,0,0,2.60,2.31
